201,11,15590150000,橡胶万向轮,50mm,个,75,6401-1-3421-2-1-1,D1修
202,11,2.75E+11,斜嘴钳,绝缘柄 200 高碳钢,把,95.58,6401-1-3421-2-1-1,D1修
203,11,P14004001287,不锈钢挂锁,产品型号:内六角锁60锁梁;,把,28.32,6401-1-3421-2-1-1,D1修
204,12,9.09E+11,新软管垫,46×29.3×9.3 TB60-5-89,个,0.97,6401-1-3421-2-1-1,D1修
205,12,P03002000094,周转箱,产品型号:710*455*180mm;,个,119.47,6401-1-3421-2-1-1,D1修
206,12,18610000007,信号旗,布 绿色 600×800mm,面,15,6401-1-3421-2-1-1,D1修
207,12,18490000099,信号旗杆,40公分,根,6,6401-1-3421-2-1-1,D1修
208,12,G01006000012,一次性防护服,,套,8.85,6401-1-3421-2-1-1,D1修
209,12,18630013911,宣传展板,3.6×2.5m PVC丝印10+10三层造型 PVC,平方米,330,6401-1-3421-2-1-1,D1修
210,12,18290003109,亚克力盒,132×115×10mm 可抽拉 亚克力,个,69,6401-1-3421-2-1-1,D1修
211,12,16910901230,一次性吸管,Φ6×190mm 1000根/包 塑料,包,57.52,6401-1-3421-2-1-1,D1修
212,12,2.75E+11,一字螺丝刀,粗短柄 50,把,32,6401-1-3421-2-1-1,D1修
213,12,9.57E+11,衣帽钩,PJ00008529,个,226.78,6401-1-3421-2-1-1,D1修
214,12,A02004000067,油漆笔(红),(红色，12支/盒),盒,29.82,6401-1-3421-2-1-1,D1修
215,12,18840005817,音视频文件专题分析台账,A4 50张/本,本,15,6401-1-3421-2-1-1,D1修
216,12,5.05E+11,音响,USB R10U,台,67.26,6401-1-3421-2-1-1,D1修
217,12,E13006000033,松锈润滑剂,,瓶,15.49,6401-1-3421-2-1-1,D1修
218,12,A02004001216,油漆笔（白）,数量:白 12支/盒;,盒,25.4,6401-1-3421-2-1-1,D1修
219,12,2.74E+11,预置式扭力扳手,扭力计80-400Nm,把,2833.98,6401-1-3421-2-1-1,D1修
220,12,E13004000717,魔绳,,个,77.88,6401-1-3421-2-1-1,D1修
